position,full_name,gsis_id,team,Total_touches,Total_HVT,TRAP,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,HVT_perc,rank,pos_rank,ATT,rush_yds,Y/A,LG,20+,rush_TD,REC,TGT,rec_yds,Y/R,rec_TD,FL,HVT_per_game,Touches_per_game
RB,J.K. Dobbins,00-0036158,BAL,10,3,0.7,11.7,11.22,1,2023,11.7,11.22,0.30000000000000004,Other,108,8,22,2.8,4,0,1,2,3,15,7.5,0,0,3,10
RB,Gary Brightwell,00-0036569,NYG,14,5,0.6428571428571429,11.6,14.25,3,2023,3.8666666666666663,4.75,0.3571428571428571,Other,109,9,19,2.1,5,0,0,5,7,47,9.4,0,0,1.6666666666666667,4.666666666666667
RB,Nick Bawden,00-0034433,NYJ,5,4,0.2,11.5,7.87,5,2023,2.3,1.574,0.8,Other,110,2,4,2,3,0,1,3,3,21,7,0,0,0.8,1
RB,Brandon Bolden,00-0029239,LV,4,2,0.5,11.1,3.95,3,2023,3.7,1.3166666666666669,0.5,Other,111,4,31,7.8,26,1,1,0,0,0,0,0,0,0.6666666666666666,1.3333333333333333
RB,Chris Brooks,00-0038685,MIA,19,2,0.8947368421052632,10.6,8.62,3,2023,3.533333333333333,2.873333333333333,0.10526315789473684,Other,112,19,106,5.6,52,5,0,0,0,0,0,0,0,0.6666666666666666,6.333333333333333
RB,C.J. Ham,00-0032918,MIN,8,7,0.125,10.2,13.85,6,2023,1.7,2.308333333333333,0.875,Other,114,1,7,7,7,0,0,7,9,25,3.6,0,0,1.1666666666666667,1.3333333333333333
RB,Damien Williams,00-0030874,ARI,13,2,0.8461538461538461,7.5,7.66,3,2023,2.5,2.5533333333333332,0.15384615384615383,Other,117,11,43,3.9,9,0,0,2,2,12,6,0,0,0.6666666666666666,4.333333333333333
RB,Dare Ogunbowale,00-0033854,HOU,10,2,0.8,7.3,14.18,6,2023,1.2166666666666666,2.3633333333333333,0.19999999999999996,Other,113,8,35,4.4,17,0,0,2,7,18,9,0,0,0.3333333333333333,1.6666666666666667
RB,Michael Burton,00-0031595,DEN,10,3,0.7,6.7,9.53,8,2023,0.8375,1.19125,0.30000000000000004,Other,118,7,9,1.3,4,0,0,3,3,8,2.7,0,0,0.375,1.25
RB,Ke'Shawn Vaughn,00-0036450,NE,26,3,0.8846153846153846,6.4,19.54,5,2023,1.28,3.908,0.11538461538461542,Other,119,24,42,1.8,9,0,0,2,5,2,1,0,0,0.6,5.2
RB,Keith Smith,00-0030968,ATL,3,3,0,6.3,4.91,3,2023,2.1,1.6366666666666667,1,Other,120,0,0,0,0,0,0,3,3,33,11,0,0,1,1
RB,Khari Blasingame,00-0035099,CHI,11,3,0.7272727272727273,5.8,13.05,7,2023,0.8285714285714285,1.864285714285714,0.2727272727272727,Other,121,8,26,3.3,6,0,0,3,6,2,0.7,0,0,0.42857142857142855,1.5714285714285714
RB,Sean Tucker,00-0038951,TB,17,2,0.8823529411764706,5.2,10.27,3,2023,1.7333333333333334,3.4233333333333333,0.11764705882352944,Other,122,15,23,1.5,7,0,0,2,2,9,4.5,0,0,0.6666666666666666,5.666666666666667
