position,full_name,gsis_id,team,Total_touches,Total_HVT,total_fantasy_points,total_fantasy_points_exp,games,season,ppg,xppg,Touch_type,percentage,label_y,Rank
RB,Gus Edwards,00-0034184,BAL,210,42,187,165.48,17,2023,11,9.734117647058824,HVT_perc,0.19999999999999996,0.9,RB3
RB,Austin Ekeler,00-0033699,LAC,230,75,184.2,232.86,14,2023,13.157142857142857,16.632857142857144,TRAP,0.6739130434782609,0.33695652173913043,RB3
RB,Austin Ekeler,00-0033699,LAC,230,75,184.2,232.86,14,2023,13.157142857142857,16.632857142857144,HVT_perc,0.32608695652173914,0.8369565217391304,RB3
RB,Chuba Hubbard,00-0036555,CAR,277,56,182.5,188.85,17,2023,10.735294117647058,11.108823529411765,TRAP,0.7978339350180506,0.3989169675090253,RB3
RB,Chuba Hubbard,00-0036555,CAR,277,56,182.5,188.85,17,2023,10.735294117647058,11.108823529411765,HVT_perc,0.20216606498194944,0.8989169675090253,RB3
RB,Josh Jacobs,00-0035700,LV,270,59,181.1,219.34,13,2023,13.930769230769231,16.872307692307693,TRAP,0.7814814814814814,0.3907407407407407,RB3
RB,Josh Jacobs,00-0035700,LV,270,59,181.1,219.34,13,2023,13.930769230769231,16.872307692307693,HVT_perc,0.21851851851851856,0.8907407407407407,RB3
RB,Javonte Williams,00-0036997,DEN,264,64,179.20000000000002,215.35999999999999,16,2023,11.200000000000001,13.459999999999999,TRAP,0.7575757575757576,0.3787878787878788,RB3
RB,Javonte Williams,00-0036997,DEN,264,64,179.20000000000002,215.35999999999999,16,2023,11.200000000000001,13.459999999999999,HVT_perc,0.24242424242424243,0.8787878787878788,RB3
RB,Ezekiel Elliott,00-0033045,NE,235,62,174.5,185.6,17,2023,10.264705882352942,10.91764705882353,TRAP,0.7361702127659574,0.3680851063829787,RB3
RB,Ezekiel Elliott,00-0033045,NE,235,62,174.5,185.6,17,2023,10.264705882352942,10.91764705882353,HVT_perc,0.2638297872340426,0.8680851063829786,RB3
RB,Zack Moss,00-0036251,IND,210,48,169.6,165.35,14,2023,12.114285714285714,11.810714285714285,TRAP,0.7714285714285715,0.38571428571428573,RB3
RB,Zack Moss,00-0036251,IND,210,48,169.6,165.35,14,2023,12.114285714285714,11.810714285714285,HVT_perc,0.22857142857142854,0.8857142857142857,RB3
RB,Devin Singletary,00-0035250,HOU,246,47,167.34,179.93,17,2023,9.843529411764706,10.584117647058823,TRAP,0.8089430894308943,0.40447154471544716,RB3
RB,Devin Singletary,00-0035250,HOU,246,47,167.34,179.93,17,2023,9.843529411764706,10.584117647058823,HVT_perc,0.19105691056910568,0.9044715447154472,RB3
RB,Jonathan Taylor,00-0036223,IND,188,33,156.4,148.35,10,2023,15.64,14.834999999999999,TRAP,0.824468085106383,0.4122340425531915,RB3
RB,Jonathan Taylor,00-0036223,IND,188,33,156.4,148.35,10,2023,15.64,14.834999999999999,HVT_perc,0.17553191489361697,0.9122340425531915,RB3
RB,Tyjae Spears,00-0039032,TEN,152,57,153.8,151.02,17,2023,9.047058823529412,8.883529411764707,TRAP,0.625,0.3125,RB3
RB,Tyjae Spears,00-0039032,TEN,152,57,153.8,151.02,17,2023,9.047058823529412,8.883529411764707,HVT_perc,0.375,0.8125,RB3
RB,Rhamondre Stevenson,00-0036875,NE,194,46,145.7,153.19,12,2023,12.141666666666666,12.765833333333333,TRAP,0.7628865979381443,0.38144329896907214,RB3
RB,Rhamondre Stevenson,00-0036875,NE,194,46,145.7,153.19,12,2023,12.141666666666666,12.765833333333333,HVT_perc,0.23711340206185572,0.8814432989690721,RB3
RB,Tyler Allgeier,00-0037263,ATL,204,28,137.6,142.01,17,2023,8.094117647058823,8.353529411764706,TRAP,0.8627450980392157,0.43137254901960786,RB3
RB,Tyler Allgeier,00-0037263,ATL,204,28,137.6,142.01,17,2023,8.094117647058823,8.353529411764706,HVT_perc,0.13725490196078427,0.9313725490196079,RB3
RB,Aaron Jones,00-0033293,GB,172,40,134.9,154.17,11,2023,12.263636363636364,14.015454545454544,TRAP,0.7674418604651163,0.38372093023255816,Other
RB,Aaron Jones,00-0033293,GB,172,40,134.9,154.17,11,2023,12.263636363636364,14.015454545454544,HVT_perc,0.2325581395348837,0.8837209302325582,Other
